0.367 / 9.65291 V / 159.216 uA
0.368 / 9.65606 V / 157.769 uA
0.369 / 9.65919 V / 156.334 uA
0.37 / 9.66229 V / 154.913 uA
0.371 / 9.66536 V / 153.505 uA
0.372 / 9.6684 V / 152.109 uA
0.373 / 9.67142 V / 150.726 uA
0.374 / 9.6744 V / 149.356 uA
0.375 / 9.67736 V / 147.998 uA
0.376 / 9.6803 V / 146.653 uA
0.377 / 9.6832 V / 145.32 uA
0.378 / 9.68608 V / 143.999 uA
0.379 / 9.68894 V / 142.69 uA
0.38 / 9.69176 V / 141.392 uA
0.381 / 9.69457 V / 140.107 uA
0.382 / 9.69734 V / 138.833 uA
0.383 / 9.70009 V / 137.571 uA
0.384 / 9.70282 V / 136.321 uA
0.385 / 9.70552 V / 135.081 uA
0.386 / 9.7082 V / 133.853 uA
0.387 / 9.71085 V / 132.636 uA
0.388 / 9.71348 V / 131.431 uA
0.389 / 9.71609 V / 130.236 uA
0.39 / 9.71867 V / 129.052 uA
0.391 / 9.72122 V / 127.879 uA
0.392 / 9.72376 V / 126.716 uA
0.393 / 9.72627 V / 125.564 uA
0.394 / 9.72876 V / 124.423 uA
0.395 / 9.73122 V / 123.292 uA
0.396 / 9.73367 V / 122.171 uA
0.397 / 9.73609 V / 121.06 uA
0.398 / 9.73849 V / 119.96 uA
0.399 / 9.74087 V / 118.869 uA
0.4 / 9.74322 V / 117.788 uA
0.401 / 9.74556 V / 116.718 uA
0.402 / 9.74787 V / 115.657 uA
0.403 / 9.75016 V / 114.605 uA
0.404 / 9.75243 V / 113.563 uA
0.405 / 9.75468 V / 112.531 uA
0.406 / 9.75691 V / 111.508 uA
0.407 / 9.75912 V / 110.494 uA
0.408 / 9.76131 V / 109.49 uA
0.409 / 9.76348 V / 108.494 uA
0.41 / 9.76563 V / 107.508 uA
0.411 / 9.76776 V / 106.531 uA
0.412 / 9.76987 V / 105.562 uA
0.413 / 9.77197 V / 104.602 uA
0.414 / 9.77404 V / 103.652 uA
